标题,播放量,链接
毕业倒计时：时光里的伤心旅客,702万,http://music.163.com/playlist?id=2219538180
你的青春里有没有属于你的一首歌？,1181万,http://music.163.com/playlist?id=2201879658
100个伤感的瞬间，有没有你的心酸？,734万,http://music.163.com/playlist?id=2179646633
致回不去的校园，致那美好的曾经,514万,http://music.163.com/playlist?id=2182683172
于时间的长廊上 你再也不等我,954万,http://music.163.com/playlist?id=2168895862
熬夜和想你，我都该戒掉了,1244万,http://music.163.com/playlist?id=2163517726
"""多少人以朋友的名义爱着一个人? """,682万,http://music.163.com/playlist?id=2162749304
我爱你 第一句是假的 第二句也是假的,1266万,http://music.163.com/playlist?id=2144281377
岁月如潮水，将我向老歌推,1211万,http://music.163.com/playlist?id=2139305008
歌词唱透了心声，回忆模糊了眼眸,1105万,http://music.163.com/playlist?id=2139324915
台湾偶像剧黄金年代|记忆是阵阵花香,624万,http://music.163.com/playlist?id=2134421380
「不老女声」你 是 窗 前 深 浅 白 月 光,751万,http://music.163.com/playlist?id=2121679666
暖春，寄一首阳光明媚的歌给你,578万,http://music.163.com/playlist?id=2114030515
细数那些值得单曲循环的民谣,648万,http://music.163.com/playlist?id=2150055953
古风精选 你眼中是江湖 我眼中是你,592万,http://music.163.com/playlist?id=2074681032
痛彻心扉地哭，然后刻骨铭心地记住,911万,http://music.163.com/playlist?id=2059430694
『曲作精选』细数古风圈原创作曲人❶,657万,http://music.163.com/playlist?id=2041615881
华语 | 听歌最怕应景，触景最怕生情,1452万,http://music.163.com/playlist?id=2042006896
粤语女声 I 故事太多 没人会听你诉说,651万,http://music.163.com/playlist?id=2047424322
再深的感情也抵挡不住缘分的交错,683万,http://music.163.com/playlist?id=2036154174
华语百首 | 歌词里那些欲言又止的少女心事,1212万,http://music.163.com/playlist?id=2029428985
粤语男声 I 我已见过银河 但我只爱一颗星,564万,http://music.163.com/playlist?id=2023551932
梦回旧景 | 多想回到最初遇见你的时光,1303万,http://music.163.com/playlist?id=2009145567
华语︱情话是一门失传的艺术,596万,http://music.163.com/playlist?id=2005048744
可爱的歌名和一个可爱的你,628万,http://music.163.com/playlist?id=991303639
怀旧辑 | 昨日红花今又开，似是故人来,805万,http://music.163.com/playlist?id=988454757
经典老歌，久听不厌,1338万,http://music.163.com/playlist?id=988690134
民谣精选 你的名字美如诗,619万,http://music.163.com/playlist?id=974763910
古风伤恋｜待到红颜消 杳杳无归期,875万,http://music.163.com/playlist?id=948471242
「华语」哭泣使人乞讨，思念使人奔跑,3846万,http://music.163.com/playlist?id=941306349
论正确背诗的方式【文言已补充,705万,http://music.163.com/playlist?id=922791900
国语说唱也很抒情，副歌也美,1745万,http://music.163.com/playlist?id=934870683
